ratingDescription,release_year,ratingLevel_len,rating_Child,rating_Juvenile,rating_Preschool,rating_Teenager,Highly_recommend_Yes
80,2004,54,0,1,0,0,1
90,2016,77,0,0,0,1,1
90,2008,77,0,0,0,1,1
70,2014,66,1,0,0,0,1
90,2016,77,0,0,0,1,1
110,2013,69,0,0,0,0,1
90,2017,77,0,0,0,1,1
110,2015,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
70,2016,66,1,0,0,0,1
90,2016,77,0,0,0,1,1
90,2006,77,0,0,0,1,0
70,2008,66,1,0,0,0,1
90,2015,77,0,0,0,1,1
110,2016,69,0,0,0,0,1
90,2016,77,0,0,0,1,0
124,2016,30,0,0,0,0,1
10,2013,22,0,0,1,0,1
124,2013,30,0,0,0,0,0
110,2016,69,0,0,0,0,1
110,2017,3,0,0,0,0,1
110,2016,69,0,0,0,0,1
70,2016,66,1,0,0,0,1
110,2016,69,0,0,0,0,1
42,2016,75,1,0,0,0,1
110,2017,69,0,0,0,0,1
110,2017,3,0,0,0,0,1
110,2017,69,0,0,0,0,1
110,2017,3,0,0,0,0,1
90,2017,3,0,0,0,1,1
90,2012,77,0,0,0,1,1
90,2016,77,0,0,0,1,1
90,2008,77,0,0,0,1,1
90,2013,77,0,0,0,1,0
90,2012,77,0,0,0,1,1
70,2014,66,1,0,0,0,1
90,2016,77,0,0,0,1,1
110,2013,69,0,0,0,0,1
90,2015,77,0,0,0,1,1
70,2015,66,1,0,0,0,1
90,2017,77,0,0,0,1,1
110,2015,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
90,2003,77,0,0,0,1,1
90,2013,77,0,0,0,1,1
90,2011,77,0,0,0,1,1
110,2015,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
110,2016,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
110,2016,69,0,0,0,0,1
110,2016,69,0,0,0,0,1
110,2016,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
124,2016,30,0,0,0,0,1
110,2017,3,0,0,0,0,1
110,2017,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
110,2017,69,0,0,0,0,1
70,2016,66,1,0,0,0,1
90,2016,77,0,0,0,1,1
110,2017,3,0,0,0,0,1
60,2016,45,1,0,0,0,1
100,2016,63,0,0,0,0,0
60,2016,22,1,0,0,0,1
110,2017,69,0,0,0,0,1
100,2016,61,0,0,0,0,1
60,2016,36,1,0,0,0,1
100,2016,45,0,0,0,0,1
110,2017,3,0,0,0,0,1
110,2017,3,0,0,0,0,1
90,2017,3,0,0,0,1,1
110,2017,69,0,0,0,0,1
70,2016,3,1,0,0,0,0
110,2016,3,0,0,0,0,0
90,2012,77,0,0,0,1,1
90,2012,77,0,0,0,1,0
90,2014,77,0,0,0,1,0
110,2016,69,0,0,0,0,1
110,2014,69,0,0,0,0,0
90,2015,77,0,0,0,1,1
90,2003,77,0,0,0,1,1
110,2016,69,0,0,0,0,1
90,2016,77,0,0,0,1,0
90,2016,77,0,0,0,1,1
90,2013,77,0,0,0,1,1
110,2017,3,0,0,0,0,1
110,2017,69,0,0,0,0,1
110,2016,69,0,0,0,0,1
110,2017,69,0,0,0,0,1
90,2016,77,0,0,0,1,0
70,2016,66,1,0,0,0,1
90,2015,77,0,0,0,1,0
110,2017,69,0,0,0,0,1
110,2017,3,0,0,0,0,1
110,2017,69,0,0,0,0,1
90,2017,3,0,0,0,1,1
110,2017,69,0,0,0,0,1
110,2017,3,0,0,0,0,0
110,2017,69,0,0,0,0,1
90,2012,77,0,0,0,1,1
90,2012,77,0,0,0,1,0
90,2013,77,0,0,0,1,0
110,2016,69,0,0,0,0,1
110,2014,69,0,0,0,0,0
90,2016,77,0,0,0,1,1
110,2017,69,0,0,0,0,1
110,2017,69,0,0,0,0,1
90,2016,77,0,0,0,1,1
90,2016,77,0,0,0,1,1
90,2016,77,0,0,0,1,0
100,2015,79,0,0,0,0,0
90,2016,77,0,0,0,1,0
70,2016,66,1,0,0,0,1
90,2015,77,0,0,0,1,0
90,2016,77,0,0,0,1,0
60,2016,49,1,0,0,0,1
90,2016,77,0,0,0,1,0
110,2017,3,0,0,0,0,1
110,2017,69,0,0,0,0,1
90,2016,77,0,0,0,1,0
