Classifier,Best Parameters,Accuracy Score,RMSE
Logististic Regression,"LogisticRegression(max_iter=300, solver='saga')",0.6266666666666667,0.6110100926607787
AdaBoostRegressor,"KNeighborsClassifier(algorithm='ball_tree', weights='distance')",0.8066666666666666,0.43969686527576396
SVM,"SVC(C=1, kernel='poly')",0.66,0.5830951894845301
AdaBoost,AdaBoostClassifier(n_estimators=100),0.7866666666666666,0.46188021535170065
MLPClassifier,"MLPClassifier(activation='tanh', hidden_layer_sizes=(10, 5),
              learning_rate='adaptive', max_iter=3000)",0.68,0.565685424949238
RandomForest Classifier,"RandomForestClassifier(criterion='entropy', max_depth=7, n_estimators=10)",0.8133333333333334,0.43204937989385733
Decision Tree Classifier,"DecisionTreeClassifier(criterion='entropy', max_depth=7)",0.7733333333333333,0.4760952285695233
Naive Bayes,GaussianNB(var_smoothing=1.0),0.66,0.5830951894845301
XGBoost,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
              importance_type='gain', interaction_constraints='',
              learning_rate=0.300000012, max_delta_step=0, max_depth=8,
              min_child_weight=1, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=0, num_parallel_tree=1, random_state=0,
              reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=1,
              tree_method='exact', validate_parameters=1, verbosity=None)",0.8066666666666666,0.43969686527576396
Gaussian Process,GaussianProcessClassifier(),0.6866666666666666,0.5597618541248889
SGD Classifier,SGDClassifier(alpha=0.001),0.66,0.5830951894845301
